purchase_order_id,product_id,supplier_id,supplier_name,order_date,expected_receipt_date,actual_receipt_date,lead_time_days,ordered_qty,received_qty,po_status
PO50043,1050,S001,Merida Industry,2022-02-02,2022-03-29,2022-03-29,55,61,61,Received
PO50044,1090,S001,Merida Industry,2022-02-02,2022-03-29,2022-03-29,55,61,61,Received
PO50045,1129,S001,Merida Industry,2022-02-02,2022-03-29,2022-03-29,55,61,61,Received
PO50046,1148,S001,Merida Industry,2022-02-02,2022-03-29,2022-03-29,55,60,60,Received
PO50047,1136,S001,Merida Industry,2022-02-03,2022-03-30,2022-03-30,55,61,61,Received
PO50048,1020,S001,Merida Industry,2022-02-04,2022-03-31,2022-03-31,55,60,60,Received
PO50049,1115,S001,Merida Industry,2022-02-04,2022-03-31,2022-03-31,55,60,60,Received
PO50050,1135,S001,Merida Industry,2022-02-04,2022-03-31,2022-03-31,55,61,61,Received
PO50051,1140,S001,Merida Industry,2022-02-05,2022-04-01,2022-04-01,55,63,63,Received
PO50052,1101,S001,Merida Industry,2022-02-06,2022-04-02,2022-04-02,55,60,60,Received
PO50053,1087,S001,Merida Industry,2022-02-07,2022-04-03,2022-04-03,55,63,63,Received
PO50054,1072,S001,Merida Industry,2022-02-08,2022-04-04,2022-04-04,55,62,62,Received
PO50055,1097,S001,Merida Industry,2022-02-08,2022-04-04,2022-04-04,55,62,62,Received
PO50056,1118,S001,Merida Industry,2022-02-08,2022-04-04,2022-04-04,55,61,61,Received
PO50057,1119,S001,Merida Industry,2022-02-08,2022-04-04,2022-04-04,55,61,61,Received
PO50058,1132,S001,Merida Industry,2022-02-08,2022-04-04,2022-04-04,55,62,62,Received
PO50059,1044,S001,Merida Industry,2022-02-09,2022-04-05,2022-04-05,55,64,64,Received
PO50060,1089,S001,Merida Industry,2022-02-09,2022-04-05,2022-04-05,55,63,63,Received
PO50061,1117,S001,Merida Industry,2022-02-09,2022-04-05,2022-04-05,55,60,60,Received
PO50062,1069,S001,Merida Industry,2022-02-10,2022-04-06,2022-04-06,55,61,61,Received
PO50063,1137,S001,Merida Industry,2022-02-10,2022-04-06,2022-04-06,55,60,60,Received
PO50064,1019,S001,Merida Industry,2022-02-11,2022-04-07,2022-04-07,55,60,60,Received
PO50065,1047,S001,Merida Industry,2022-02-11,2022-04-07,2022-04-07,55,61,61,Received
PO50066,1068,S001,Merida Industry,2022-02-11,2022-04-07,2022-04-07,55,61,61,Received
PO50067,1098,S001,Merida Industry,2022-02-11,2022-04-07,2022-04-07,55,61,61,Received
PO50068,1138,S001,Merida Industry,2022-02-11,2022-04-07,2022-04-07,55,64,64,Received
PO50069,1127,S001,Merida Industry,2022-02-12,2022-04-08,2022-04-08,55,60,60,Received
PO50070,1043,S001,Merida Industry,2022-02-14,2022-04-10,2022-04-10,55,60,60,Received
PO50071,1067,S001,Merida Industry,2022-02-14,2022-04-10,2022-04-10,55,61,61,Received
PO50072,1131,S001,Merida Industry,2022-02-14,2022-04-10,2022-04-10,55,62,62,Received
PO50073,1045,S001,Merida Industry,2022-02-15,2022-04-11,2022-04-11,55,60,60,Received
PO50074,1012,S001,Merida Industry,2022-02-17,2022-04-13,2022-04-13,55,60,60,Received
PO50075,1053,S001,Merida Industry,2022-02-17,2022-04-13,2022-04-13,55,64,64,Received
PO50076,1086,S001,Merida Industry,2022-02-17,2022-04-13,2022-04-13,55,60,60,Received
PO50077,1150,S001,Merida Industry,2022-02-17,2022-04-13,2022-04-13,55,62,62,Received
PO50078,1029,S001,Merida Industry,2022-02-18,2022-04-14,2022-04-14,55,60,60,Received
PO50079,1149,S001,Merida Industry,2022-02-18,2022-04-14,2022-04-14,55,60,60,Received
PO50080,1099,S001,Merida Industry,2022-02-19,2022-04-15,2022-04-15,55,61,61,Received
PO50081,1027,S001,Merida Industry,2022-02-21,2022-04-17,2022-04-17,55,61,61,Received
PO50082,1088,S001,Merida Industry,2022-02-21,2022-04-17,2022-04-17,55,61,61,Received
PO50083,1128,S001,Merida Industry,2022-02-21,2022-04-17,2022-04-17,55,62,62,Received
PO50084,1116,S001,Merida Industry,2022-02-22,2022-04-18,2022-04-18,55,63,63,Received
PO50085,1062,S001,Merida Industry,2022-02-23,2022-04-19,2022-04-19,55,61,61,Received
PO50086,1100,S001,Merida Industry,2022-02-23,2022-04-19,2022-04-19,55,63,63,Received
PO50087,1102,S001,Merida Industry,2022-02-23,2022-04-19,2022-04-19,55,64,64,Received
PO50088,1174,S001,Merida Industry,2022-02-23,2022-04-19,2022-04-19,55,61,61,Received
PO50089,1011,S001,Merida Industry,2022-02-24,2022-04-20,2022-04-20,55,60,60,Received
PO50090,1026,S001,Merida Industry,2022-02-24,2022-04-20,2022-04-20,55,61,61,Received
PO50091,1021,S001,Merida Industry,2022-02-25,2022-04-21,2022-04-21,55,64,64,Received
PO50092,1065,S001,Merida Industry,2022-02-26,2022-04-22,2022-04-22,55,61,61,Received
PO50093,1139,S001,Merida Industry,2022-02-26,2022-04-22,2022-04-22,55,65,65,Received
PO50094,1147,S001,Merida Industry,2022-02-28,2022-04-24,2022-04-24,55,61,61,Received
PO50095,1163,S001,Merida Industry,2022-02-28,2022-04-24,2022-04-24,55,61,61,Received
PO50096,1164,S001,Merida Industry,2022-02-28,2022-04-24,2022-04-24,55,61,61,Received
PO50097,1025,S001,Merida Industry,2022-03-01,2022-04-25,2022-04-25,55,60,60,Received
PO50098,1028,S001,Merida Industry,2022-03-01,2022-04-25,2022-04-25,55,62,62,Received
PO50099,1166,S001,Merida Industry,2022-03-01,2022-04-25,2022-04-25,55,62,62,Received
PO50100,1171,S001,Merida Industry,2022-03-01,2022-04-25,2022-04-25,55,60,60,Received
PO50101,1173,S001,Merida Industry,2022-03-01,2022-04-25,2022-04-25,55,63,63,Received
PO50102,1022,S001,Merida Industry,2022-03-02,2022-04-26,2022-04-26,55,62,62,Received
PO50103,1046,S001,Merida Industry,2022-03-02,2022-04-26,2022-04-26,55,61,61,Received
PO50104,1051,S001,Merida Industry,2022-03-02,2022-04-26,2022-04-26,55,63,63,Received
PO50105,1058,S001,Merida Industry,2022-03-03,2022-04-27,2022-04-27,55,60,60,Received
PO50106,1030,S001,Merida Industry,2022-03-04,2022-04-28,2022-04-28,55,67,67,Received
PO50107,1049,S001,Merida Industry,2022-03-04,2022-04-28,2022-04-28,55,61,61,Received
PO50108,1167,S001,Merida Industry,2022-03-04,2022-04-28,2022-04-28,55,60,60,Received
PO50109,1146,S001,Merida Industry,2022-03-07,2022-05-01,2022-05-01,55,62,62,Received
PO50110,1170,S001,Merida Industry,2022-03-07,2022-05-01,2022-05-01,55,60,60,Received
PO50111,1175,S001,Merida Industry,2022-03-07,2022-05-01,2022-05-01,55,61,61,Received
PO50112,1197,S002,Ideal Bike Corp,2022-03-07,2022-04-21,2022-04-21,45,60,60,Received
PO50113,1063,S001,Merida Industry,2022-03-08,2022-05-02,2022-05-02,55,61,61,Received
PO50114,1064,S001,Merida Industry,2022-03-08,2022-05-02,2022-05-02,55,60,60,Received
PO50115,1130,S001,Merida Industry,2022-03-08,2022-05-02,2022-05-02,55,61,61,Received
PO50116,1145,S001,Merida Industry,2022-03-08,2022-05-02,2022-05-02,55,61,61,Received
PO50117,1165,S001,Merida Industry,2022-03-08,2022-05-02,2022-05-02,55,64,64,Received
PO50118,1007,S001,Merida Industry,2022-03-09,2022-05-03,2022-05-03,55,62,62,Received
PO50119,1060,S001,Merida Industry,2022-03-09,2022-05-03,2022-05-03,55,60,60,Received
PO50120,1061,S001,Merida Industry,2022-03-09,2022-05-03,2022-05-03,55,60,60,Received
PO50121,1168,S001,Merida Industry,2022-03-09,2022-05-03,2022-05-03,55,63,63,Received
PO50122,1037,S001,Merida Industry,2022-03-10,2022-05-04,2022-05-04,55,60,60,Received
PO50123,1194,S002,Ideal Bike Corp,2022-03-10,2022-04-24,2022-04-24,45,62,62,Received
PO50124,1199,S002,Ideal Bike Corp,2022-03-10,2022-04-24,2022-04-24,45,60,60,Received
PO50125,1008,S001,Merida Industry,2022-03-11,2022-05-05,2022-05-05,55,62,62,Received
PO50126,1009,S001,Merida Industry,2022-03-11,2022-05-05,2022-05-05,55,61,61,Received
PO50127,1038,S001,Merida Industry,2022-03-14,2022-05-08,2022-05-08,55,63,63,Received
PO50128,1169,S001,Merida Industry,2022-03-15,2022-05-09,2022-05-09,55,64,64,Received
PO50129,1094,S001,Merida Industry,2022-03-16,2022-05-10,2022-05-10,55,60,60,Received
PO50130,1054,S001,Merida Industry,2022-03-18,2022-05-12,2022-05-12,55,61,61,Received
PO50131,1095,S001,Merida Industry,2022-03-18,2022-05-12,2022-05-12,55,61,61,Received
PO50132,1172,S001,Merida Industry,2022-03-18,2022-05-12,2022-05-12,55,61,61,Received
PO50133,1078,S001,Merida Industry,2022-03-23,2022-05-17,2022-05-17,55,65,65,Received
PO50134,1093,S001,Merida Industry,2022-03-23,2022-05-17,2022-05-17,55,61,61,Received
PO50135,1193,S002,Ideal Bike Corp,2022-03-23,2022-05-07,2022-05-07,45,60,60,Received
PO50136,1001,S001,Merida Industry,2022-03-24,2022-05-18,2022-05-18,55,60,60,Received
PO50137,1106,S001,Merida Industry,2022-03-24,2022-05-18,2022-05-18,55,61,61,Received
PO50138,1179,S001,Merida Industry,2022-03-24,2022-05-18,2022-05-18,55,60,60,Received
PO50139,1052,S001,Merida Industry,2022-03-25,2022-05-19,2022-05-19,55,60,60,Received
PO50140,1195,S002,Ideal Bike Corp,2022-03-28,2022-05-12,2022-05-12,45,61,61,Received
PO50141,1059,S001,Merida Industry,2022-03-29,2022-05-23,2022-05-23,55,60,60,Received
PO50142,1092,S001,Merida Industry,2022-03-29,2022-05-23,2022-05-23,55,61,61,Received
PO50143,1112,S001,Merida Industry,2022-03-29,2022-05-23,2022-05-23,55,60,60,Received
PO50144,1081,S001,Merida Industry,2022-03-30,2022-05-24,2022-05-24,55,60,60,Received
PO50145,1010,S001,Merida Industry,2022-03-31,2022-05-25,2022-05-25,55,62,62,Received
PO50146,1075,S001,Merida Industry,2022-04-03,2022-05-28,2022-05-28,55,60,60,Received
PO50147,1073,S001,Merida Industry,2022-04-04,2022-05-29,2022-05-29,55,63,63,Received
PO50148,1082,S001,Merida Industry,2022-04-04,2022-05-29,2022-05-29,55,60,60,Received
PO50149,1083,S001,Merida Industry,2022-04-04,2022-05-29,2022-05-29,55,64,64,Received
PO50150,1104,S001,Merida Industry,2022-04-04,2022-05-29,2022-05-29,55,63,63,Received
PO50151,1103,S001,Merida Industry,2022-04-05,2022-05-30,2022-05-30,55,60,60,Received
PO50152,1109,S001,Merida Industry,2022-04-05,2022-05-30,2022-05-30,55,64,64,Received
PO50153,1113,S001,Merida Industry,2022-04-05,2022-05-30,2022-05-30,55,61,61,Received
PO50154,1157,S001,Merida Industry,2022-04-05,2022-05-30,2022-05-30,55,60,60,Received
PO50155,1196,S002,Ideal Bike Corp,2022-04-05,2022-05-20,2022-05-20,45,61,61,Received
PO50156,1041,S001,Merida Industry,2022-04-06,2022-05-31,2022-05-31,55,64,64,Received
PO50157,1080,S001,Merida Industry,2022-04-06,2022-05-31,2022-05-31,55,60,60,Received
PO50158,1124,S001,Merida Industry,2022-04-06,2022-05-31,2022-05-31,55,61,61,Received
PO50159,1134,S001,Merida Industry,2022-04-06,2022-05-31,2022-05-31,55,60,60,Received
PO50160,1204,S002,Ideal Bike Corp,2022-04-06,2022-05-21,2022-05-21,45,62,62,Received
PO50161,1066,S001,Merida Industry,2022-04-07,2022-06-01,2022-06-01,55,62,62,Received
PO50162,1074,S001,Merida Industry,2022-04-07,2022-06-01,2022-06-01,55,60,60,Received
PO50163,1200,S002,Ideal Bike Corp,2022-04-07,2022-05-22,2022-05-22,45,61,61,Received
PO50164,1202,S002,Ideal Bike Corp,2022-04-07,2022-05-22,2022-05-22,45,61,61,Received
PO50165,1056,S001,Merida Industry,2022-04-08,2022-06-02,2022-06-02,55,60,60,Received
PO50166,1076,S001,Merida Industry,2022-04-08,2022-06-02,2022-06-02,55,60,60,Received
PO50167,1085,S001,Merida Industry,2022-04-08,2022-06-02,2022-06-02,55,61,61,Received
PO50168,1108,S001,Merida Industry,2022-04-08,2022-06-02,2022-06-02,55,61,61,Received
PO50169,1114,S001,Merida Industry,2022-04-08,2022-06-02,2022-06-02,55,64,64,Received
PO50170,1201,S002,Ideal Bike Corp,2022-04-09,2022-05-24,2022-05-24,45,60,60,Received
PO50171,1016,S001,Merida Industry,2022-04-10,2022-06-04,2022-06-04,55,60,60,Received
PO50172,1159,S001,Merida Industry,2022-04-10,2022-06-04,2022-06-04,55,60,60,Received
PO50173,1105,S001,Merida Industry,2022-04-11,2022-06-05,2022-06-05,55,61,61,Received
PO50174,1111,S001,Merida Industry,2022-04-11,2022-06-05,2022-06-05,55,66,66,Received
PO50175,1018,S001,Merida Industry,2022-04-12,2022-06-06,2022-06-06,55,61,61,Received
PO50176,1091,S001,Merida Industry,2022-04-12,2022-06-06,2022-06-06,55,60,60,Received
PO50177,1013,S001,Merida Industry,2022-04-13,2022-06-07,2022-06-07,55,63,63,Received
PO50178,1096,S001,Merida Industry,2022-04-13,2022-06-07,2022-06-07,55,61,61,Received
PO50179,1107,S001,Merida Industry,2022-04-13,2022-06-07,2022-06-07,55,62,62,Received
PO50180,1133,S001,Merida Industry,2022-04-13,2022-06-07,2022-06-07,55,60,60,Received
PO50181,1142,S001,Merida Industry,2022-04-13,2022-06-07,2022-06-07,55,62,62,Received
PO50182,1143,S001,Merida Industry,2022-04-13,2022-06-07,2022-06-07,55,61,61,Received
PO50183,1188,S002,Ideal Bike Corp,2022-04-13,2022-05-28,2022-05-28,45,60,60,Received
PO50184,1084,S001,Merida Industry,2022-04-14,2022-06-08,2022-06-08,55,61,61,Received
PO50185,1178,S001,Merida Industry,2022-04-16,2022-06-10,2022-06-10,55,64,64,Received
PO50186,1015,S001,Merida Industry,2022-04-18,2022-06-12,2022-06-12,55,61,61,Received
PO50187,1077,S001,Merida Industry,2022-04-18,2022-06-12,2022-06-12,55,62,62,Received
PO50188,1144,S001,Merida Industry,2022-04-18,2022-06-12,2022-06-12,55,62,62,Received
PO50189,1176,S001,Merida Industry,2022-04-18,2022-06-12,2022-06-12,55,60,60,Received
PO50190,1209,S002,Ideal Bike Corp,2022-04-18,2022-06-02,2022-06-02,45,60,60,Received
PO50191,1017,S001,Merida Industry,2022-04-19,2022-06-13,2022-06-13,55,62,62,Received
PO50192,1024,S001,Merida Industry,2022-04-19,2022-06-13,2022-06-13,55,61,61,Received
PO50193,1071,S001,Merida Industry,2022-04-19,2022-06-13,2022-06-13,55,62,62,Received
PO50194,1177,S001,Merida Industry,2022-04-19,2022-06-13,2022-06-13,55,60,60,Received
PO50195,1123,S001,Merida Industry,2022-04-20,2022-06-14,2022-06-14,55,61,61,Received
PO50196,1141,S001,Merida Industry,2022-04-20,2022-06-14,2022-06-14,55,60,60,Received
PO50197,1055,S001,Merida Industry,2022-04-21,2022-06-15,2022-06-15,55,63,63,Received
PO50198,1122,S001,Merida Industry,2022-04-21,2022-06-15,2022-06-15,55,62,62,Received
PO50199,1203,S002,Ideal Bike Corp,2022-04-21,2022-06-05,2022-06-05,45,60,60,Received
PO50200,1160,S001,Merida Industry,2022-04-22,2022-06-16,2022-06-16,55,60,60,Received
PO50201,1187,S002,Ideal Bike Corp,2022-04-22,2022-06-06,2022-06-06,45,60,60,Received
PO50202,1079,S001,Merida Industry,2022-04-23,2022-06-17,2022-06-17,55,63,63,Received
PO50203,1120,S001,Merida Industry,2022-04-23,2022-06-17,2022-06-17,55,60,60,Received
PO50204,1070,S001,Merida Industry,2022-04-25,2022-06-19,2022-06-19,55,62,62,Received
PO50205,1136,S001,Merida Industry,2022-04-25,2022-06-19,2022-06-19,55,60,60,Received
PO50206,1014,S001,Merida Industry,2022-04-26,2022-06-20,2022-06-20,55,61,61,Received
PO50207,1020,S001,Merida Industry,2022-04-26,2022-06-20,2022-06-20,55,61,61,Received
PO50208,1042,S001,Merida Industry,2022-04-26,2022-06-20,2022-06-20,55,64,64,Received
PO50209,1135,S001,Merida Industry,2022-04-26,2022-06-20,2022-06-20,55,70,70,Received
PO50210,1090,S001,Merida Industry,2022-04-27,2022-06-21,2022-06-21,55,63,63,Received
PO50211,1137,S001,Merida Industry,2022-04-27,2022-06-21,2022-06-21,55,60,60,Received
PO50212,1040,S001,Merida Industry,2022-04-29,2022-06-23,2022-06-23,55,60,60,Received
PO50213,1110,S001,Merida Industry,2022-04-29,2022-06-23,2022-06-23,55,62,62,Received
PO50214,1180,S001,Merida Industry,2022-04-29,2022-06-23,2022-06-23,55,60,60,Received
PO50215,1205,S002,Ideal Bike Corp,2022-04-29,2022-06-13,2022-06-13,45,60,60,Received
PO50216,1121,S001,Merida Industry,2022-05-02,2022-06-26,2022-06-26,55,62,62,Received
PO50217,1158,S001,Merida Industry,2022-05-02,2022-06-26,2022-06-26,55,61,61,Received
PO50218,1039,S001,Merida Industry,2022-05-03,2022-06-27,2022-06-27,55,62,62,Received
PO50219,1057,S001,Merida Industry,2022-05-03,2022-06-27,2022-06-27,55,60,60,Received
PO50220,1087,S001,Merida Industry,2022-05-03,2022-06-27,2022-06-27,55,61,61,Received
PO50221,1099,S001,Merida Industry,2022-05-03,2022-06-27,2022-06-27,55,62,62,Received
PO50222,1101,S001,Merida Industry,2022-05-04,2022-06-28,2022-06-28,55,63,63,Received
PO50223,1125,S001,Merida Industry,2022-05-04,2022-06-28,2022-06-28,55,61,61,Received
PO50224,1126,S001,Merida Industry,2022-05-04,2022-06-28,2022-06-28,55,64,64,Received
PO50225,1138,S001,Merida Industry,2022-05-04,2022-06-28,2022-06-28,55,63,63,Received
PO50226,1048,S001,Merida Industry,2022-05-05,2022-06-29,2022-06-29,55,60,60,Received
PO50227,1097,S001,Merida Industry,2022-05-05,2022-06-29,2022-06-29,55,61,61,Received
PO50228,1117,S001,Merida Industry,2022-05-05,2022-06-29,2022-06-29,55,61,61,Received
PO50229,1067,S001,Merida Industry,2022-05-06,2022-06-30,2022-06-30,55,62,62,Received
PO50230,1089,S001,Merida Industry,2022-05-06,2022-06-30,2022-06-30,55,60,60,Received
PO50231,1119,S001,Merida Industry,2022-05-06,2022-06-30,2022-06-30,55,63,63,Received
PO50232,1140,S001,Merida Industry,2022-05-06,2022-06-30,2022-06-30,55,60,60,Received
PO50233,1198,S002,Ideal Bike Corp,2022-05-06,2022-06-20,2022-06-20,45,64,64,Received
PO50234,1004,S001,Merida Industry,2022-05-10,2022-07-04,2022-07-04,55,60,60,Received
PO50235,1069,S001,Merida Industry,2022-05-10,2022-07-04,2022-07-04,55,62,62,Received
PO50236,1021,S001,Merida Industry,2022-05-11,2022-07-05,2022-07-05,55,63,63,Received
PO50237,1161,S001,Merida Industry,2022-05-11,2022-07-05,2022-07-05,55,60,60,Received
PO50238,1006,S001,Merida Industry,2022-05-13,2022-07-07,2022-07-07,55,60,60,Received
PO50239,1019,S001,Merida Industry,2022-05-13,2022-07-07,2022-07-07,55,64,64,Received
PO50240,1023,S001,Merida Industry,2022-05-13,2022-07-07,2022-07-07,55,61,61,Received
PO50241,1115,S001,Merida Industry,2022-05-17,2022-07-11,2022-07-11,55,64,64,Received
PO50242,1118,S001,Merida Industry,2022-05-17,2022-07-11,2022-07-11,55,63,63,Received
PO50243,1026,S001,Merida Industry,2022-05-18,2022-07-12,2022-07-12,55,60,60,Received
PO50244,1003,S001,Merida Industry,2022-05-19,2022-07-13,2022-07-13,55,60,60,Received
PO50245,1068,S001,Merida Industry,2022-05-19,2022-07-13,2022-07-13,55,62,62,Received
PO50246,1088,S001,Merida Industry,2022-05-19,2022-07-13,2022-07-13,55,62,62,Received
PO50247,1098,S001,Merida Industry,2022-05-19,2022-07-13,2022-07-13,55,61,61,Received
PO50248,1086,S001,Merida Industry,2022-05-20,2022-07-14,2022-07-14,55,68,68,Received
PO50249,1127,S001,Merida Industry,2022-05-20,2022-07-14,2022-07-14,55,65,65,Received
PO50250,1102,S001,Merida Industry,2022-05-21,2022-07-15,2022-07-15,55,60,60,Received
PO50251,1043,S001,Merida Industry,2022-05-23,2022-07-17,2022-07-17,55,63,63,Received
PO50252,1131,S001,Merida Industry,2022-05-24,2022-07-18,2022-07-18,55,64,64,Received
PO50253,1139,S001,Merida Industry,2022-05-24,2022-07-18,2022-07-18,55,61,61,Received
PO50254,1190,S002,Ideal Bike Corp,2022-05-24,2022-07-08,2022-07-08,45,61,61,Received
PO50255,1072,S001,Merida Industry,2022-05-25,2022-07-19,2022-07-19,55,64,64,Received
PO50256,1005,S001,Merida Industry,2022-05-26,2022-07-20,2022-07-20,55,62,62,Received
PO50257,1047,S001,Merida Industry,2022-05-26,2022-07-20,2022-07-20,55,66,66,Received
PO50258,1128,S001,Merida Industry,2022-05-26,2022-07-20,2022-07-20,55,60,60,Received
PO50259,1051,S001,Merida Industry,2022-05-27,2022-07-21,2022-07-21,55,62,62,Received
PO50260,1162,S001,Merida Industry,2022-05-28,2022-07-22,2022-07-22,55,63,63,Received
PO50261,1148,S001,Merida Industry,2022-05-29,2022-07-23,2022-07-23,55,60,60,Received
PO50262,1171,S001,Merida Industry,2022-05-30,2022-07-24,2022-07-24,55,64,64,Received
PO50263,1009,S001,Merida Industry,2022-05-31,2022-07-25,2022-07-25,55,63,63,Received
PO50264,1106,S001,Merida Industry,2022-05-31,2022-07-25,2022-07-25,55,60,60,Received
PO50265,1116,S001,Merida Industry,2022-05-31,2022-07-25,2022-07-25,55,61,61,Received
PO50266,1208,S002,Ideal Bike Corp,2022-05-31,2022-07-15,2022-07-15,45,61,61,Received
PO50267,1012,S001,Merida Industry,2022-06-01,2022-07-26,2022-07-26,55,60,60,Received
PO50268,1100,S001,Merida Industry,2022-06-02,2022-07-27,2022-07-27,55,64,64,Received
PO50269,1132,S001,Merida Industry,2022-06-02,2022-07-27,2022-07-27,55,61,61,Received
PO50270,1022,S001,Merida Industry,2022-06-03,2022-07-28,2022-07-28,55,62,62,Received
PO50271,1112,S001,Merida Industry,2022-06-03,2022-07-28,2022-07-28,55,62,62,Received
PO50272,1029,S001,Merida Industry,2022-06-04,2022-07-29,2022-07-29,55,60,60,Received
PO50273,1078,S001,Merida Industry,2022-06-06,2022-07-31,2022-07-31,55,66,66,Received
PO50274,1129,S001,Merida Industry,2022-06-06,2022-07-31,2022-07-31,55,60,60,Received
PO50275,1146,S001,Merida Industry,2022-06-06,2022-07-31,2022-07-31,55,60,60,Received
PO50276,1080,S001,Merida Industry,2022-06-07,2022-08-01,2022-08-01,55,65,65,Received
PO50277,1104,S001,Merida Industry,2022-06-07,2022-08-01,2022-08-01,55,65,65,Received
PO50278,1044,S001,Merida Industry,2022-06-08,2022-08-02,2022-08-02,55,61,61,Received
PO50279,1075,S001,Merida Industry,2022-06-08,2022-08-02,2022-08-02,55,60,60,Received
PO50280,1150,S001,Merida Industry,2022-06-08,2022-08-02,2022-08-02,55,60,60,Received
PO50281,1103,S001,Merida Industry,2022-06-09,2022-08-03,2022-08-03,55,60,60,Received
PO50282,1113,S001,Merida Industry,2022-06-09,2022-08-03,2022-08-03,55,60,60,Received
PO50283,1149,S001,Merida Industry,2022-06-09,2022-08-03,2022-08-03,55,63,63,Received
PO50284,1045,S001,Merida Industry,2022-06-10,2022-08-04,2022-08-04,55,60,60,Received
PO50285,1074,S001,Merida Industry,2022-06-11,2022-08-05,2022-08-05,55,62,62,Received
PO50286,1025,S001,Merida Industry,2022-06-13,2022-08-07,2022-08-07,55,60,60,Received
